Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1934,11,,,,,,,,Nine Nectarines and Other Porcelain,"<i>Poetry 45</i>, p. 64-67
</i><br/><br/>Other appearances: <i> Selected Poems (1935)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 91-94</i>, p. 95",,,,,,,
1935,,,,,,,,,Publishes <i>Selected Poems</i>,,,,,,,,#3289C7
1935,,,,,,,,January-March,Half Diety,"<i>Direction 1(Peoria</i>, p. Ill.)</i>, p. 74-75
</i><br/><br/>Other appearances: <i> The Pangolin and Other Verse (1936); What Are Years? (1941)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 96-98",,,,,,,
1935,10,17,,,,,,,Smooth Gnarled Crepe Myrtle!,"<i>New English Weekly 8</i>, p. 13
</i><br/><br/>Other appearances: <i> The Pangolin and Other Verse (1936); What Are Years? (1941)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 99-100",,,,,,,
1935,11,,,,,,,,Pigeons,"<i>Poetry 47</i>, p. 61-65
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 101-106",,,,,,,
1935,12,,,,,,,,Virginia Britannia,"<i>Life and Letters Today 13</i>, p. 66-70
</i><br/><br/>Other appearances: <i> The Pangolin and Other Verse (1936); What Are Years? (1941)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 107-113",,,,,,,
1936,,,,,,,,,Publishes <i>The Pangolin and Other Verse</i>,,,,,,,,#3289C7
1936,,,,,,,,,The Pangolin,"<i>The Pangolin and Other
Verse (London: The Brendin
Publishing Co.</i>, p. 1936)</i>, p. 17-21
</i><br/><br/>Other appearances: <i> What Are Years?  (1941)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 27-31</i>, p. 114
",,,,,,,
1936,,,,,,,,,See in the Midst of Fair Leaves,"<i>New Directions in Prose and
Poetry</i>, p. ed. James Laughlin
(Norfolk</i>, p. Conn.: New 
Directions</i>, p. 1936)</i>, p. 56
</i><br/><br/>Other appearances: <i> What Are Years? (1941)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 115-116",,,,,,,
1936,1,22,,,,,,,Bird-Witted,"<i>New Republic 85</i>, p. 311
</i><br/><br/>Other appearances: <i> The Pangolin and Other Verse (1936)</i>, p.
What Are Years? (1941)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 117-118",,,,,,,
1936,11,,,,,,,,Walking-Sticks and Paperweights and Watermarks,"<i>Poetry 49</i>, p. 59-64
</i><br/><br/>Other appearances: <i> What Are Years? (1941)
<br/><br/>Source: <i>A-Quiver with Significance</i>, p. 119-125",,,,,,,
1940,,,,,,,,Summer,Four Quartz Crystal Clocks,"<i>Kenyon Review 2</i>, p. 284-285
</i><br/><br/>Other appearances: <i> What Are Years? (1941)
<br/><br/>Source: <i>Adversity & Grace</i>, p. 141-143",,,,,,,
1940,,,,,,,,Summer,A Glass-Ribbed Nest,"<i>Kenyon Review 2</i>, p. 287-288
</i><br/><br/>Other appearances: <i> What Are Years? (1941)
<br/><br/>Source: <i>Adversity & Grace</i>, p. 145-147",,,,,,,
1940,,,,,,,,Summer,What Are Years?,"<i>Kenyon Review 2</i>, p. 286
</i><br/><br/>Other appearances: <i> What Are Years? (1941)
<br/><br/>Source: <i>Adversity & Grace</i>, p. 148-149",,,,,,,
1940,9,,,,,,,,Rigorists,"<i>Life and Letters Today 26</i>, p. 243-244
</i><br/><br/>Other appearances: <i> What Are Years? (1941)
<br/><br/>Source: <i>Adversity & Grace</i>, p. 150-152",,,,,,,
1941,,,,,,,,,Publishes <i>What are Years?</i>,,,,,,,,#3289C7
1941,3,,,,,,,,Light is Speech,"<i>Decision 1</i>, p. 26
</i><br/><br/>Other appearances: <i> What Are Years? (1941)
<br/><br/>Source: <i>Adversity & Grace</i>, p. 153-154",,,,,,,
1941,,,,,,,,Summer,Spenser's Ireland,"<i>Furioso 1</i>, p. 24-25
</i><br/><br/>Other appearances: <i> What Are Years? (1941)
<br/><br/>Source: <i>Adversity & Grace</i>, p. 155-157",,,,,,,
1941,,,,,,,,July-August,"He ""Digesteth Harde Yron""","<i>Partisan Review 8</i>, p. 312-314
</i><br/><br/>Other appearances: <i> What Are Years? (1941)
<br/><br/>Source: <i>Adversity & Grace</i>, p. 158-161",,,,,,,
1944,,,,,,,,,Publishes <i>Nevertheless</i>,,,,,,,,#3289C7
1947,,,,,,,,,"Marianne's mother, Mary Warner Moore, dies.",,,,,,,,#3289C7
1951,,,,,,,,,"Publishes <i>Collected Poems</i>; awarded Pulitzer
Prize and Gold Medal of the National Institute
of Arts and Letters 
",,,,,,,,#3289C7
1952,,,,,,,,,Awarded National Book Award,,,,,,,,#3289C7
1953,,,,,,,,,Awarded Bollingen Prize,,,,,,,,#3289C7
1954,,,,,,,,,Publishes <i>The Fables of La Fontaine</i>,,,,,,,,#3289C7
1955,,,,,,,,,"Elected to American Academy of Arts and 
Letters",,,,,,,,#3289C7
1956,,,,,,,,,Publishes <i>Like a Bulwark</i>,,,,,,,,#3289C7
1959,,,,,,,,,Publishes <i>O to Be a Dragon</i>,,,,,,,,#3289C7
1962,,,,,,,,,"Publishes <i>The Absentee: A Comedy in Four
Acts Based on Maria Edgeworth's Novel of the 
Same Name</i>
",,,,,,,,#3289C7
1966,,,,,,,,,Publishes <i>Tell Me Tell Me</i>,,,,,,,,#3289C7
1967,,,,,,,,,"Publishes <i>Complete Poems</i>; receives Chevalier
de l'Ordre des Arts et des Lettres, France, and the
Gold Medal Award for Lifetime Achievement from
the Poetry Society.",,,,,,,,#3289C7
1972,,,,,,,,,Marianne Craig Moore dies in her sleep in New York.,,,,,,,,#3289C7
2015,,,,,,,,,Timeline Sources:,"<br/><p><i>Adversity & Grace: Marianne Moore 1936-1941</i>, edited by Heather Cass White (Victoria, B. C.: ELS Editions, 2012).</p><p><i>A-quiver with Significance, Marianne Moore 1932-1936</i>, edited by Heather Cass White (Victoria, B. C.: ELS Editions, 2008).</p><p><i>Becoming Marianne Moore: the Early Poems, 1907-1924</i>, edited by Robin G. Schulze (Berkeley: University of California Press, 2002).</p><p>Cristanne Miller, <i>Cultures of Modernism: Marianne Moore, Mina Loy, Else Lasker-Schuler; Gender and Literary Community in New York and Berlin</i> (University of Michigan Press, 2005).</p><p>Margaret Holley, <i>The Poetry of Marianne Moore: A Study in Voice and Value</i> (New York: Cambridge University Press, 1987).</p>",,,,,,,
